original_idx,comment,type_of_hate,target_of_hate,severity_of_hate,silver_explanation,source,verified,verification_status,notes
11346,নগদের করনে মুশফিকুর রহিম গালি খায়,Abusive,Individual,Mild,"মন্তব্যটিতে ""গালি"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করে নির্দিষ্ট ব্যক্তিকে লক্ষ্য করা হয়েছে। এটি মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual,False,pending,
33899,এই প্রতিশোধ একদিন না একদিন নেয়া হবে ইসরাইল ধ্বংস হবে ইনশাল্লাহ আর পশ্চিমাদের গদি উল্টিয়ে যাবে সারা বিশ্ব আজ তামাশা দেখছে মুখে সবাই মানবতার কথা বলছি কিন্তু তাদের অন্তর দিনে দিনে প্রকাশ পাচ্ছে এর চরম পরিনীতি ইসরাইল এবং আমেরিকা কে ভোগ করতে হবে ইনশাল্লাহ ইনশাল্লাহ,Political Hate,Society,Severe,"রাজনৈতিক প্রেক্ষাপটে ""ধ্বংস"" ব্যবহার করে সমাজ বা জাতিকে প্রতি বিদ্বেষ প্রকাশ এই মন্তব্যকে তীব্র ও গুরুতর মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য করে তোলে।",rule-contextual,False,pending,
19857,বিএনপির কুকুরগুলো অগ্নি সন্ত্রাস করছে,Political Hate,Organization,Severe,"মন্তব্যকারী ""বিএনপি"" এর প্রসঙ্গে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে সম্পর্কে তীব্র ও গুরুতর মাত্রার রাজনৈতিক বিদ্বেষ ও ঘৃণা প্রকাশ করেছেন।",rule-contextual,False,pending,
26928,কবে আগামী নির্বাচনের পর আন্দোলন করবেন,,,Little to None,"মন্তব্যটিতে কোনো গালিগালাজ, বিদ্বেষ বা আপত্তিকর বিষয়বস্তু পাওয়া যায়নি বলে এটি নিরপেক্ষ মন্তব্য।",rule-based,False,pending,
20920,এক সময় প্যাপাল বাংলাদেশে চালো ছিলো দুঃখের বিষয় দেশে এতো থাকাতে প্যাপালকে ঠিকতে দেয়নি তবে চায় প্যাপাল আবার ফিরে আসুক,,,Little to None,"এই মন্তব্যে কোনো ঘৃণামূলক, আক্রমণাত্মক বা বৈষম্যমূলক ভাষা নেই, তাই এটি স্বাভাবিক মন্তব্য হিসেবে শ্রেণিবদ্ধ।",rule-based,False,pending,
32024,ট্রফি টা আমি চুরি করবো,Abusive,,Little to None,এই বক্তব্যে ব্যবহৃত ভাষা ও দৃষ্টিভঙ্গি সাধারণভাবে মৃদু বা গৌণ মাত্রার গালিগালাজমূলক মন্তব্য প্রকাশ করে।,rule-contextual,False,pending,
4020,এরা থাকে টাকার ধান্দায়,Abusive,Community,Little to None,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মৃদু বা গৌণ মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual,False,pending,
19517,মিথ্যা ফকরল সাহেব আমরা সব জানি,Abusive,Individual,Mild,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual,False,pending,
4044,ধন্যবাদ প্রধান মন্ত্রীকে অর্থ ও পরিকল্পনা মন্ত্রীকে বাদ দেয়ার জন্য,Political Hate,Individual,Little to None,রাজনৈতিক বিষয়ে একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মৃদু বা গৌণ মাত্রার বিদ্বেষপূর্ণ মনোভাব এই মন্তব্যে স্পষ্ট।,rule-contextual,False,pending,
29286,তোরা সবাই ভিক্ষা চাইবি কেন এমনিতেই কেও কিছু দিচ্ছে না,Abusive,Community,Mild,মন্তব্যটির সামগ্রিক সুর ও ভাষা একটি সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য নির্দেশ করে।,rule-contextual,False,pending,
21072,আসসালামু আলাইকুম হাসিনার সরকার কে বলেন মা খালেদা জিয়া হাতে খমতা দিতে সুহস্ত ভাবে নির্বাচন করতে আর বি এম পি সুহস্ত ভাবে নির্বাচন করুক আমরা বাংলা দেশের জনগন ভোট দিবো আমরা বাংলাদেশের জনগন শান্তি চাই বি এম পি ছাড়া কাউকে নির্বাচন দিবে পরে হাসিনা সরকার হবে আমরা জনগন চাই না না হাসিনা আপনে খমতা থেকে নামেন আপনে সুহস্ত ভাবে নির্বাচন করবেন আর বি এম পি সুহস্ত ভাবে নির্বাচন করবে ইনশাআল্লাহ ইনশাআল্লাহ ইনশাআল্লাহ,Political Hate,Organization,Severe,"মন্তব্যকারী ""সরকার"", ""হাসিনা"", ""খালেদা"" এর প্রসঙ্গে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে সম্পর্কে তীব্র ও গুরুতর মাত্রার রাজনৈতিক বিদ্বেষ ও ঘৃণা প্রকাশ করেছেন।",rule-contextual,False,pending,
5410,আসলে আগে ভাবতাম আমরা বাঙালিরাই শুধু বোকা এখন তো দেখি ইউরোপীয় রা আরো বেশি বোকা আমেরিকার অস্র ব্যবসাটা তারা বুজতে পারেনা আর এক দিকে দিয়ে বালোই লাগে যে আমাদের এশিয়াতে যুদ্ধ হলে তাদের কোন মাথা ব্যথা থাকেনা তারা এতোদিন অনেক শান্তিতে ছিলো এখন বুজোক আফগানিস্তানের ও ফিলিস্তিনের বাইয়েরা কি অবস্থায় আছে,Abusive,Society,Mild,"মন্তব্যটিতে ""বোকা"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করে সমাজ বা জাতিকে লক্ষ্য করা হয়েছে। এটি মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual,False,pending,
21899,হে মুসলিম নেতাগন আপনারা ইহুদি ও নাসারাদের নিজেদের বন্ধু হিসাবে গ্রহন করবেন নাতাদের কথা বিশ্বাস করবেন নাতারা আপনাদের দুনিয়াআখিরাত দুই জাহানেই ক্ষতির কারন হবে আপনারা মুসলিমদের সাথে ঐক্য করুন এবং একে অপরকে সাহায্য করুন,,,Little to None,মন্তব্যকারী সাধারণ বিষয়ে মতামত দিয়েছেন এবং কোনো ঘৃণামূলক বক্তব্য প্রকাশ করেননি।,rule-based,False,pending,
33726,এয়ারকন্ডিশনে বসে জনগনের পকেট কেটে হাজার হাজার কোটি টাকা বিদেশে পাচার করা সহজ কিন্তু মাঠে কাজ করে টাকা কামানো কঠিন বুঝলে,Political Hate,Community,Little to None,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে একটি সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মৃদু বা গৌণ মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual,False,pending,
13133,সরকার কী করছে ওনাদের জন্য চারালের মত আচরণ করে বিমানবন্দরে,Political Hate,Organization,Little to None,"নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে বিরুদ্ধে ""সরকার"" এর মতো রাজনৈতিক বিদ্বেষমূলক শব্দ ব্যবহার করা হয়েছে। এটি মৃদু বা গৌণ মাত্রার রাজনৈতিক ঘৃণা প্রকাশ করে।",rule-contextual,False,pending,
27703,এসব আন্দোলন করে কিছু হবে একমাত্র উপায় ইসলাম ত্যাগ চুপচাপ,Religious Hate,,Mild,"ধর্মীয় প্রেক্ষাপটে ""ইসলাম"" ব্যবহার করে প্রতি সাম্প্রদায়িক বিদ্বেষ প্রকাশ এটিকে মাঝারি মাত্রার ধর্মীয় ঘৃণামূলক বক্তব্য হিসেবে চিহ্নিত করে।",rule-contextual,False,pending,
33681,প্রিয়তমার গানই আপনার কাম ব্যাকহিটদারুন গান গাইলেন ভাইআপনি ছাড়া বাংলাগানে প্রাণ নাই আপনি মানেই বাংলারোমান্টিক মেলোডিয়াস সুপার গান,,,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based,False,pending,
