original_idx,comment,type_of_hate,target_of_hate,severity_of_hate,silver_explanation,source
11346,নগদের কারনে মুশফিকুর রহিম গালি খায়,Abusive,Individual,Mild,"মন্তব্যটিতে ব্যক্তিকে উদ্দেশ্য করে অপমানজনক ও গালিগালাজপূর্ণ ভাষা ব্যবহার করা হয়েছে, যা ব্যক্তিগতভাবে আক্রমণাত্মক বক্তব্য হিসেবে বিবেচিত।",rule-contextual
33899,এই প্রতিশোধ একদিন না একদিন নেয়া হবে ইসরাইল ধ্বংস হবে ইনশাল্লাহ আর পশ্চিমাদের গদি উল্টিয়ে যাবে সারা বিশ্ব আজ তামাশা দেখছে মুখে সবাই মানবতার কথা বলছি কিন্তু তাদের অন্তর দিনে দিনে প্রকাশ পাচ্ছে এর চরম পরিনীতি ইসরাইল এবং আমেরিকা কে ভোগ করতে হবে ইনশাল্লাহ ইনশাল্লাহ,Political Hate,Society,Severe,"মন্তব্যকারী ইসরাইল, আমেরিকা ও পশ্চিমাদের বিরুদ্ধে তীব্র রাজনৈতিক বিদ্বেষ প্রকাশ করেছেন এবং তাদের ধ্বংসের আহ্বান জানিয়েছেন, যা গুরুতর রাজনৈতিক বিদ্বেষমূলক বক্তব্য।",rule-contextual
19857,বিএনপির কুকুরগুলো অগ্নি সন্ত্রাস করছে,Political Hate,Organization,Severe,"মন্তব্যটিতে বিএনপির সমর্থক বা সংশ্লিষ্ট ব্যক্তিদের ‘কুকুর’ হিসেবে উল্লেখ করে অপমান করা হয়েছে, যা একটি রাজনৈতিক সংগঠনকে লক্ষ্য করে বিদ্বেষপূর্ণ বক্তব্য।",rule-contextual
26928,কবে আগামী নির্বাচনের পর আন্দোলন করবেন,None,None,Little to None,"মন্তব্যটিতে কোনো ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে গালিগালাজ, বিদ্বেষ বা আক্রমণাত্মক বক্তব্য নেই; এটি সাধারণ রাজনৈতিক কর্মকাণ্ড সম্পর্কিত একটি নিরপেক্ষ মন্তব্য।",rule-based
20920,এক সময় প্যাপাল বাংলাদেশে চালো ছিলো দুঃখের বিষয় দেশে এতো থাকাতে প্যাপালকে ঠিকতে দেয়নি তবে চায় প্যাপাল আবার ফিরে আসুক,None,None,Little to None,মন্তব্যটিতে অতীতের পরিস্থিতি ও বাংলাদেশ সম্পর্কে ব্যক্তিগত মতামত প্রকাশ করা হয়েছে। এতে কোনো ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে আক্রমণাত্মক বা বিদ্বেষমূলক ভাষা নেই।,rule-based
32024,ট্রফি টা আমি চুরি করবো,None,None,Little to None,"মন্তব্যটিতে অশালীন ও অনুপযুক্ত ভাষা ব্যবহার করা হয়েছে, যা সাধারণভাবে আক্রমণাত্মক বক্তব্য হিসেবে বিবেচিত হলেও নির্দিষ্ট কোনো ব্যক্তি বা গোষ্ঠীকে লক্ষ্য করে নয়।",rule-contextual
4020,এরা থাকে টাকার ধান্দায়,Abusive,Community,Little to None,"মন্তব্যটিতে একটি নির্দিষ্ট সম্প্রদায় বা গোষ্ঠীকে উদ্দেশ্য করে অবমাননাকর ও তুচ্ছতাচ্ছিল্যপূর্ণ ভাষা ব্যবহার করা হয়েছে, যা আক্রমণাত্মক বক্তব্যের অন্তর্ভুক্ত।",rule-contextual
19517,মিথ্যা ফকরল সাহেব আমরা সব জানি,Abusive,Individual,Mild,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual
4044,ধন্যবাদ প্রধান মন্ত্রীকে অর্থ ও পরিকল্পনা মন্ত্রীকে বাদ দেয়ার জন্য,Political Hate,Individual,Little to None,রাজনৈতিক বিষয়ে একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মৃদু বা গৌণ মাত্রার বিদ্বেষপূর্ণ মনোভাব এই মন্তব্যে স্পষ্ট।,rule-contextual
29286,তোরা সবাই ভিক্ষা চাইবি কেন এমনিতেই কেও কিছু দিচ্ছে না,Abusive,Community,Mild,মন্তব্যটির সামগ্রিক সুর ও ভাষা একটি সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য নির্দেশ করে।,rule-contextual
21072,আসসালামু আলাইকুম হাসিনার সরকার কে বলেন মা খালেদা জিয়া হাতে খমতা দিতে সুহস্ত ভাবে নির্বাচন করতে আর বি এম পি সুহস্ত ভাবে নির্বাচন করুক আমরা বাংলা দেশের জনগন ভোট দিবো আমরা বাংলাদেশের জনগন শান্তি চাই বি এম পি ছাড়া কাউকে নির্বাচন দিবে পরে হাসিনা সরকার হবে আমরা জনগন চাই না না হাসিনা আপনে খমতা থেকে নামেন আপনে সুহস্ত ভাবে নির্বাচন করবেন আর বি এম পি সুহস্ত ভাবে নির্বাচন করবে ইনশাআল্লাহ ইনশাআল্লাহ ইনশাআল্লাহ,Political Hate,Organization,Severe,"মন্তব্যটিতে হাসিনা সরকার ও সংশ্লিষ্ট রাজনৈতিক নেতৃত্বের বিরুদ্ধে তীব্র রাজনৈতিক আক্রমণ, অপমানজনক ভাষা এবং রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে।",rule-contextual
5410,আসলে আগে ভাবতাম আমরা বাঙালিরাই শুধু বোকা এখন তো দেখি ইউরোপীয় রা আরো বেশি বোকা আমেরিকার অস্র ব্যবসাটা তারা বুজতে পারেনা আর এক দিকে দিয়ে বালোই লাগে যে আমাদের এশিয়াতে যুদ্ধ হলে তাদের কোন মাথা ব্যথা থাকেনা তারা এতোদিন অনেক শান্তিতে ছিলো এখন বুজোক আফগানিস্তানের ও ফিলিস্তিনের বাইয়েরা কি অবস্থায় আছে,Abusive,Society,Mild,"মন্তব্যটিতে একটি বৃহত্তর সামাজিক গোষ্ঠীকে ‘বোকা’ হিসেবে উল্লেখ করে তাচ্ছিল্যপূর্ণ ভাষা ব্যবহার করা হয়েছে, যা সমাজকে লক্ষ্য করে হালকা মাত্রার আক্রমণাত্মক বক্তব্য।",rule-contextual
21899,হে মুসলিম নেতাগন আপনারা ইহুদি ও নাসারাদের নিজেদের বন্ধু হিসাবে গ্রহন করবেন নাতাদের কথা বিশ্বাস করবেন নাতারা আপনাদের দুনিয়াআখিরাত দুই জাহানেই ক্ষতির কারন হবে আপনারা মুসলিমদের সাথে ঐক্য করুন এবং একে অপরকে সাহায্য করুন,Religious Hate,Community,Mild,মন্তব্যকারী সাধারণ বিষয়ে মতামত দিয়েছেন এবং কোনো ঘৃণামূলক বক্তব্য প্রকাশ করেননি।,rule-based
33726,এয়ারকন্ডিশনে বসে জনগনের পকেট কেটে হাজার হাজার কোটি টাকা বিদেশে পাচার করা সহজ কিন্তু মাঠে কাজ করে টাকা কামানো কঠিন বুঝলে,Political Hate,Community,Little to None,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে একটি সম্প্রদায় বা গোষ্ঠীর বিরুদ্ধে মৃদু বা গৌণ মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
13133,সরকার কী করছে ওনাদের জন্য চারালের মত আচরণ করে বিমানবন্দরে,Political Hate,Organization,Little to None,মন্তব্যটিতে সরকারের কর্মকাণ্ড ও একটি রাজনৈতিক সংগঠনকে ঘিরে সমালোচনা করা হয়েছে। এতে রাজনৈতিক সংগঠনকে লক্ষ্য করে নেতিবাচক বক্তব্য থাকলেও আক্রমণের মাত্রা কম।,rule-contextual
